waktu,id_tweet,count_retweet,count_likes,id_account_twitter,username,full_name,followers,following,location,tweet
2021-12-23 10:18:11,1473961122684276736,0,0,1284042528082112512,MarkLouieSanPe2,Mark Louie San Pedro,0,0,,"Blacklist deserve Estes M3 Skin

#WeWantEstesSkin 
#Blacklistinternational 
#Moonton 
#MobileLegendsBangBang… https://t.co/HxSOZ5aeuN"
2021-12-23 10:11:41,1473959487622959108,0,0,2427400357,abbyberrie,Abby Em,48,49,Philippines,"Tweeting again supporting @BLACKLISTINTL chosen skin for #M3WorldChampionship 
Give respect.

 #WeWantEstes"
2021-12-23 09:17:32,1473945859033157633,0,0,808879273788309504,purplewitty099,Vivi09,112,208,,👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship isnot true to their words then we should… https://t.co/CSAhUFSgyt
2021-12-23 09:17:19,1473945804867989505,1,0,1326929379163693056,gfriendsakalam,BAHIYYIH,8,24,,RT @purplewitty099: 👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship isnot true to their words then we should #BoycottMob…
2021-12-23 09:15:38,1473945381532684290,1,1,808879273788309504,purplewitty099,Vivi09,112,208,,👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship isnot true to their words then we should… https://t.co/hBXBzR0pa8
2021-12-23 09:11:28,1473944334873481216,0,1,808879273788309504,purplewitty099,Vivi09,112,208,,👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should… https://t.co/sbpg71WhDS
2021-12-23 09:10:41,1473944138231922690,0,1,808879273788309504,purplewitty099,Vivi09,112,208,,👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should… https://t.co/cPl74fYpiW
2021-12-23 09:03:10,1473942243858063361,0,1,1447594805488324612,ShijeiR,シージェイ・ロドリゲス,0,1,,"#WeWantEstesSkin #Moneyton
#M3WorldChampionship https://t.co/AUcnllZFFw"
2021-12-23 08:51:55,1473939414283808770,1,0,1473715012409729030,monteverde_kim,Kim Monteverde,1,1,,RT @purplewitty099: 👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should #BoycottMo…
2021-12-23 08:51:42,1473939360563089408,1,0,1473715012409729030,monteverde_kim,Kim Monteverde,1,1,,RT @purplewitty099: 👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should #BoycottMo…
2021-12-23 08:51:18,1473939258733830146,1,0,1473715012409729030,monteverde_kim,Kim Monteverde,1,1,,RT @purplewitty099: 👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should #BoycottMo…
2021-12-23 08:51:08,1473939215100833795,0,0,808879273788309504,purplewitty099,Vivi09,112,208,,@MobileLegendsOL 👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then… https://t.co/8Vb0ecSwTf
2021-12-23 08:50:57,1473939172906127360,0,0,808879273788309504,purplewitty099,Vivi09,112,208,,@MobileLegendsOL 👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then… https://t.co/djPw3Z2XTC
2021-12-23 08:50:13,1473938985680797697,0,0,808879273788309504,purplewitty099,Vivi09,112,208,,@MobileLegendsOL 👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then… https://t.co/kTiCLnlK8M
